paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
3.6.1,The contents of this paragraph are noted. I am a member of the Fifth Respondent.,general,,2025-11-02T14:20:58.359452,2025-11-02T14:20:58.359453
3.6.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359455,2025-11-02T14:20:58.359456
3.7,Noted as a heading.,general,,2025-11-02T14:20:58.359458,2025-11-02T14:20:58.359459
3.7.1,The contents of this paragraph are noted. I am a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.359461,2025-11-02T14:20:58.359462
3.7.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359464,2025-11-02T14:20:58.359465
3.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359467,2025-11-02T14:20:58.359468
3.9,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359470,2025-11-02T14:20:58.359471
3.10,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359472,2025-11-02T14:20:58.359474
3.11,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359476,2025-11-02T14:20:58.359477
3.12,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359479,2025-11-02T14:20:58.359480
3.13,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359481,2025-11-02T14:20:58.359483
6.1,"I admit that I am a director of the Third Respondent and a member of the Fourth, Fifth, and Sixth Respondents.",general,,2025-11-02T14:20:58.359484,2025-11-02T14:20:58.359486
6.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359487,2025-11-02T14:20:58.359489
6.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359490,2025-11-02T14:20:58.359491
6.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359493,2025-11-02T14:20:58.359496
6.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359498,2025-11-02T14:20:58.359499
12.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359504,2025-11-02T14:20:58.359505
12.2,The contents of this paragraph are noted. I deny any misappropriation of funds.,general,,2025-11-02T14:20:58.359507,2025-11-02T14:20:58.359508
12.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359510,2025-11-02T14:20:58.359511
12.4,The allegation of non-cooperation is denied. I have always been and remain willing to cooperate with any legitimate investigation.,general,,2025-11-02T14:20:58.359513,2025-11-02T14:20:58.359514
13.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359516,2025-11-02T14:20:58.359517
13.2,Noted as a heading.,general,,2025-11-02T14:20:58.359518,2025-11-02T14:20:58.359520
13.2.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359521,2025-11-02T14:20:58.359523
13.2.2,The allegations herein are denied.,general,,2025-11-02T14:20:58.359524,2025-11-02T14:20:58.359526
13.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359527,2025-11-02T14:20:58.359528
13.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359530,2025-11-02T14:20:58.359531
13.5,The allegations herein are denied.,general,,2025-11-02T14:20:58.359533,2025-11-02T14:20:58.359534
13.6,The allegations herein are denied.,general,,2025-11-02T14:20:58.359536,2025-11-02T14:20:58.359537
13.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359539,2025-11-02T14:20:58.359540
14.1,"I do not oppose a forensic audit, provided it is conducted by an independent and impartial firm.",general,,2025-11-02T14:20:58.359542,2025-11-02T14:20:58.359543
14.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359544,2025-11-02T14:20:58.359546
14.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359547,2025-11-02T14:20:58.359549
14.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359550,2025-11-02T14:20:58.359552
14.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359553,2025-11-02T14:20:58.359554
16.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359556,2025-11-02T14:20:58.359557
16.2,The allegation of an admission of guilt is denied.,general,,2025-11-02T14:20:58.359561,2025-11-02T14:20:58.359562
16.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359564,2025-11-02T14:20:58.359565
16.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359567,2025-11-02T14:20:58.359568
16.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359570,2025-11-02T14:20:58.359571
16.6,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359572,2025-11-02T14:20:58.359576
16.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359577,2025-11-02T14:20:58.359579
16.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359580,2025-11-02T14:20:58.359582
16.9,The allegations herein are denied.,general,,2025-11-02T14:20:58.359583,2025-11-02T14:20:58.359585
16.10,The allegations herein are denied.,general,,2025-11-02T14:20:58.359586,2025-11-02T14:20:58.359587
16.11,The allegations herein are denied.,general,,2025-11-02T14:20:58.359589,2025-11-02T14:20:58.359590
16.12,The allegations herein are denied.,general,,2025-11-02T14:20:58.359592,2025-11-02T14:20:58.359593
17.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359595,2025-11-02T14:20:58.359596
17.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359598,2025-11-02T14:20:58.359599
17.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359601,2025-11-02T14:20:58.359602
17.4,The allegations of urgency are denied.,general,,2025-11-02T14:20:58.359604,2025-11-02T14:20:58.359605
