paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
3.7,Noted as a heading.,general,,2025-11-02T14:20:58.360198,2025-11-02T14:20:58.360200
3.7.1,The contents of this paragraph are noted. I am a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.360202,2025-11-02T14:20:58.360204
3.7.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360206,2025-11-02T14:20:58.360209
3.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360211,2025-11-02T14:20:58.360213
3.9,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360216,2025-11-02T14:20:58.360218
3.10,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360220,2025-11-02T14:20:58.360222
3.11,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360225,2025-11-02T14:20:58.360227
3.12,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360230,2025-11-02T14:20:58.360232
3.13,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360234,2025-11-02T14:20:58.360236
6.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360239,2025-11-02T14:20:58.360240
6.2,I admit that I am a director of the Third Respondent and a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.360242,2025-11-02T14:20:58.360243
6.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360245,2025-11-02T14:20:58.360246
6.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360248,2025-11-02T14:20:58.360249
6.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360251,2025-11-02T14:20:58.360252
10.1,"The relief sought is denied. This application is a malicious and strategic abuse of process, brought with the ulterior motive of removing me from my position after I uncovered and reported extensive financial misconduct within the corporate entities. The timing of this application, following my reports, is no coincidence.",detailed,,2025-11-02T14:30:20.310181,2025-11-02T14:30:20.310183
10.2,"The allegations are denied. The Applicant's feigned urgency is a fabrication. The true motive is to prevent the further exposure of the very financial irregularities I was investigating. My actions, far from justifying this application, were aimed at protecting the companies from ongoing financial harm.",detailed,,2025-11-02T14:30:20.310185,2025-11-02T14:30:20.310186
10.3,"This allegation is emphatically denied. My conduct was aimed at preventing detriment to the companies. The true detrimental conduct is the systematic financial sabotage I uncovered, including the dumping of two years of unallocated expenses onto RegimA Worldwide (RWW) on 30 March 2025, which I was pressured to sign off on within 12 hours.",detailed,,2025-11-02T14:30:20.310188,2025-11-02T14:30:20.310189
10.4,"This is a bare denial. The Applicant fails to cite a single specific action that constitutes a contravention of my fiduciary duties. To the contrary, my investigation and subsequent reports were a direct fulfillment of my duty to act in the best interests of the companies.",detailed,,2025-11-02T14:30:20.310191,2025-11-02T14:30:20.310192
10.5,"The contents are noted as the Applicant's statement of the law. However, the Applicant has failed to provide any factual basis to meet the requirements of these sections. This application is a textbook example of strategic litigation against a whistleblower.",detailed,,2025-11-02T14:30:20.310194,2025-11-02T14:30:20.310195
10.5.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310197,2025-11-02T14:30:20.310198
10.5.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310200,2025-11-02T14:30:20.310201
10.6,The contents are noted. I have always been acutely aware of my fiduciary duties. It was precisely my adherence to these duties that compelled me to investigate the financial irregularities that form the true basis of this dispute.,detailed,,2025-11-02T14:30:20.310203,2025-11-02T14:30:20.310204
10.6.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310206,2025-11-02T14:30:20.310207
10.6.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310209,2025-11-02T14:30:20.310210
10.6.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310212,2025-11-02T14:30:20.310213
10.7,"The contents are noted. I deny any breach of my duties and therefore deny any liability. Any losses suffered by the corporations are a direct result of the financial misconduct I sought to expose, not my actions in uncovering it.",detailed,,2025-11-02T14:30:20.310215,2025-11-02T14:30:20.310216
10.7.1.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310218,2025-11-02T14:30:20.310219
10.7.1.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310221,2025-11-02T14:30:20.310222
10.8,The contents are noted. I deny any misconduct. The Applicant is attempting to use the court to disqualify the very person who was acting to protect the companies from the actual misconduct of others.,detailed,,2025-11-02T14:30:20.310224,2025-11-02T14:30:20.310225
10.9,"I deny these allegations in the strongest possible terms. The only ""harm"" I have inflicted is upon the fraudulent scheme that was operating within the companies. My actions were not ""gross abuse"" but a necessary and lawful exercise of my duties. The Applicant's claims of fraud against me are a malicious inversion of the truth. The real fraud is the R5.4 million ""stock adjustment"" in Strategic Logistics (SLG) and the systematic hijacking of revenue streams from RWW, which began on 1 March 2025.",detailed,,2025-11-02T14:30:20.310227,2025-11-02T14:30:20.310228
10.9.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310230,2025-11-02T14:30:20.310231
10.9.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310233,2025-11-02T14:30:20.310234
10.9.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310236,2025-11-02T14:30:20.310237
10.9.3.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310239,2025-11-02T14:30:20.310241
10.9.3.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310242,2025-11-02T14:30:20.310244
10.9.3.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310245,2025-11-02T14:30:20.310247
10.10,"I deny these allegations. The Applicant's claim of ""oppressive conduct"" is a fabrication. The true oppression was the Applicant and his associates dumping two years of unallocated expenses on RWW and demanding I sign off on them within 12 hours on 30 March 2025. This was a clear attempt to make me complicit in their scheme. My refusal to do so is not oppressive conduct; it is responsible governance.",detailed,,2025-11-02T14:30:20.310248,2025-11-02T14:30:20.310250
10.10.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310251,2025-11-02T14:30:20.310253
10.10.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310254,2025-11-02T14:30:20.310256
10.10.2.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310257,2025-11-02T14:30:20.310259
10.10.2.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310260,2025-11-02T14:30:20.310262
10.10.2.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310266,2025-11-02T14:30:20.310267
10.11,"The Applicant's conclusion is noted. It is based on a distorted and incomplete version of events, and I am advised that it has no prospect of success.",detailed,,2025-11-02T14:30:20.310269,2025-11-02T14:30:20.310270
10.12,"I wholeheartedly agree and consent to an order for a truly independent forensic investigation. Such an investigation will vindicate me and confirm the substance of my reports. The investigation must have a broad mandate to investigate the R5.4 million SLG stock adjustment, the two years of unallocated expenses, the diversion of revenue from RWW starting on 1 March 2025, the secret cancellation of my business bank cards on 7 June 2025, and the role of Villa Via in extracting profits from the so-called ""Group"".",detailed,,2025-11-02T14:30:20.310272,2025-11-02T14:30:20.310273
10.13,I agree. This is the central thesis of the reports I compiled between March and June 2025. The Applicant's attempt to attribute this to me is a desperate and transparent attempt to deflect blame from the individuals who are actually responsible for the missing funds. The Applicant has been aware of these issues since I first reported them and has chosen to attack the messenger rather than address the message.,detailed,,2025-11-02T14:30:20.310275,2025-11-02T14:30:20.310276
12.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360254,2025-11-02T14:20:58.360255
12.2,The contents of this paragraph are noted. I deny any misappropriation of funds.,general,,2025-11-02T14:20:58.360257,2025-11-02T14:20:58.360258
12.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360259,2025-11-02T14:20:58.360261
12.4,The allegation of non-cooperation is denied. I have always been and remain willing to cooperate with any legitimate investigation.,general,,2025-11-02T14:20:58.360262,2025-11-02T14:20:58.360264
13.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360265,2025-11-02T14:20:58.360266
13.2,Noted as a heading.,general,,2025-11-02T14:20:58.360268,2025-11-02T14:20:58.360269
13.2.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360271,2025-11-02T14:20:58.360272
13.2.2,The allegations herein are denied.,general,,2025-11-02T14:20:58.360274,2025-11-02T14:20:58.360275
13.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360277,2025-11-02T14:20:58.360278
13.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360280,2025-11-02T14:20:58.360281
13.5,The allegations herein are denied.,general,,2025-11-02T14:20:58.360283,2025-11-02T14:20:58.360284
13.6,The allegations herein are denied.,general,,2025-11-02T14:20:58.360285,2025-11-02T14:20:58.360287
13.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360313,2025-11-02T14:20:58.360315
14.1,"I do not oppose a forensic audit, provided it is conducted by an independent and impartial firm.",general,,2025-11-02T14:20:58.360318,2025-11-02T14:20:58.360320
14.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360323,2025-11-02T14:20:58.360325
14.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360331,2025-11-02T14:20:58.360334
14.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360336,2025-11-02T14:20:58.360338
14.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360341,2025-11-02T14:20:58.360343
16.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360346,2025-11-02T14:20:58.360349
16.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360352,2025-11-02T14:20:58.360354
16.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360357,2025-11-02T14:20:58.360359
16.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360362,2025-11-02T14:20:58.360364
16.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360367,2025-11-02T14:20:58.360370
16.6,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360373,2025-11-02T14:20:58.360375
16.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360378,2025-11-02T14:20:58.360380
16.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360383,2025-11-02T14:20:58.360386
16.9,The allegations herein are denied.,general,,2025-11-02T14:20:58.360389,2025-11-02T14:20:58.360391
16.10,The allegations herein are denied.,general,,2025-11-02T14:20:58.360394,2025-11-02T14:20:58.360396
16.11,The allegations herein are denied.,general,,2025-11-02T14:20:58.360398,2025-11-02T14:20:58.360399
16.12,The allegations herein are denied.,general,,2025-11-02T14:20:58.360401,2025-11-02T14:20:58.360402
17.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360404,2025-11-02T14:20:58.360405
17.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360407,2025-11-02T14:20:58.360408
17.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360410,2025-11-02T14:20:58.360412
17.4,The allegations of urgency are denied.,general,,2025-11-02T14:20:58.360413,2025-11-02T14:20:58.360414
