paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
3.7,Noted as a heading.,general,,2025-11-02T14:20:58.360198,2025-11-02T14:20:58.360200
3.7.1,The contents of this paragraph are noted. I am a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.360202,2025-11-02T14:20:58.360204
3.7.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360206,2025-11-02T14:20:58.360209
3.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360211,2025-11-02T14:20:58.360213
3.9,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360216,2025-11-02T14:20:58.360218
3.10,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360220,2025-11-02T14:20:58.360222
3.11,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360225,2025-11-02T14:20:58.360227
3.12,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360230,2025-11-02T14:20:58.360232
3.13,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360234,2025-11-02T14:20:58.360236
6.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360239,2025-11-02T14:20:58.360240
6.2,I admit that I am a director of the Third Respondent and a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.360242,2025-11-02T14:20:58.360243
6.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360245,2025-11-02T14:20:58.360246
6.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360248,2025-11-02T14:20:58.360249
6.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360251,2025-11-02T14:20:58.360252
12.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360254,2025-11-02T14:20:58.360255
12.2,The contents of this paragraph are noted. I deny any misappropriation of funds.,general,,2025-11-02T14:20:58.360257,2025-11-02T14:20:58.360258
12.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360259,2025-11-02T14:20:58.360261
12.4,The allegation of non-cooperation is denied. I have always been and remain willing to cooperate with any legitimate investigation.,general,,2025-11-02T14:20:58.360262,2025-11-02T14:20:58.360264
13.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360265,2025-11-02T14:20:58.360266
13.2,Noted as a heading.,general,,2025-11-02T14:20:58.360268,2025-11-02T14:20:58.360269
13.2.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360271,2025-11-02T14:20:58.360272
13.2.2,The allegations herein are denied.,general,,2025-11-02T14:20:58.360274,2025-11-02T14:20:58.360275
13.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360277,2025-11-02T14:20:58.360278
13.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360280,2025-11-02T14:20:58.360281
13.5,The allegations herein are denied.,general,,2025-11-02T14:20:58.360283,2025-11-02T14:20:58.360284
13.6,The allegations herein are denied.,general,,2025-11-02T14:20:58.360285,2025-11-02T14:20:58.360287
13.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360313,2025-11-02T14:20:58.360315
14.1,"I do not oppose a forensic audit, provided it is conducted by an independent and impartial firm.",general,,2025-11-02T14:20:58.360318,2025-11-02T14:20:58.360320
14.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360323,2025-11-02T14:20:58.360325
14.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360331,2025-11-02T14:20:58.360334
14.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360336,2025-11-02T14:20:58.360338
14.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360341,2025-11-02T14:20:58.360343
16.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360346,2025-11-02T14:20:58.360349
16.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360352,2025-11-02T14:20:58.360354
16.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.360357,2025-11-02T14:20:58.360359
16.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360362,2025-11-02T14:20:58.360364
16.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360367,2025-11-02T14:20:58.360370
16.6,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360373,2025-11-02T14:20:58.360375
16.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360378,2025-11-02T14:20:58.360380
16.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360383,2025-11-02T14:20:58.360386
16.9,The allegations herein are denied.,general,,2025-11-02T14:20:58.360389,2025-11-02T14:20:58.360391
16.10,The allegations herein are denied.,general,,2025-11-02T14:20:58.360394,2025-11-02T14:20:58.360396
16.11,The allegations herein are denied.,general,,2025-11-02T14:20:58.360398,2025-11-02T14:20:58.360399
16.12,The allegations herein are denied.,general,,2025-11-02T14:20:58.360401,2025-11-02T14:20:58.360402
17.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.360404,2025-11-02T14:20:58.360405
17.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360407,2025-11-02T14:20:58.360408
17.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.360410,2025-11-02T14:20:58.360412
17.4,The allegations of urgency are denied.,general,,2025-11-02T14:20:58.360413,2025-11-02T14:20:58.360414
