sep=,
"Account Description","Account Date","Bank / Customer / Supplier","Reference","Transaction Type","Description","Debit","Credit","Balance"
,"04/03/2025","8400/000 : FNB","450.00 WAPPALYZER 4XX*5191 02 MAR XX0593 450.00 WAPPALYZER 4XXXXX*5191 02 MAR XXXXXXXXXXXXXXXXXXX059","Account Payment","450.00 WAPPALYZER 4XX*5191 02 MAR XX0593 450.00 WAPPALYZER 4XXXXX*5191 02 MAR XXXXXXXXXXXXXXXXXXX05","8606.38",,"107049.73"
,"04/03/2025","8400/000 : FNB","Google Store 365.04 Google GSUIT 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXXXX0052 Google Store","Account Payment","Google Store 365.04 Google GSUIT 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXXXX0052 Google Store","7255.77",,"114305.5"
,"04/03/2025","8400/000 : FNB","Wix.com 182.85 Wix.Com, Inc 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXXX9071 Wix.com","Account Payment","Wix.com 182.85 Wix.Com, Inc 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXXX9071 Wix.com","3450.62",,"117756.12"
,"04/03/2025","8400/000 : FNB","134.00 SINCH MAILGU 4XX*5191 01 MAR XX1232 134.00 SINCH MAILGU 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXX","Account Payment","134.00 SINCH MAILGU 4XX*5191 01 MAR XX1232 134.00 SINCH MAILGU 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX","2562.79",,"120318.91"
,"04/03/2025","8400/000 : FNB","44.13 GOOGLE*GSUITE 4XX*5225 01 MAR XX1686 44.13 GOOGLE*GSUITE 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXXX","Account Payment","44.13 GOOGLE*GSUITE 4XX*5225 01 MAR XX1686 44.13 GOOGLE*GSUITE 4XXXXX*5225 01 MAR XXXXXXXXXXXXXXXXX","877.16",,"121196.07"
,"04/03/2025","8400/000 : FNB","Google Store 39.82 Google GSUITE 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX9050 Google Store","Account Payment","Google Store 39.82 Google GSUITE 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX9050 Google Store","791.49",,"121987.56"
,"04/03/2025","8400/000 : FNB","Facebook 651.14 FACEBK *9QFB 4XXXXX*5191 02 MAR XXXXXXXXXXXXXXXXXXX5350 Facebook","Account Payment","Facebook 651.14 FACEBK *9QFB 4XXXXX*5191 02 MAR XXXXXXXXXXXXXXXXXXX5350 Facebook","651.14",,"122638.7"
,"04/03/2025","8400/000 : FNB","Facebook 23.00 FACEBK *4KCYX 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX6040 Facebook","Account Payment","Facebook 23.00 FACEBK *4KCYX 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX6040 Facebook","439.89",,"123078.59"
,"04/03/2025","8400/000 : FNB","20.00 HUGGINGFACE 4XX*5191 01 MAR XX7397 20.00 HUGGINGFACE 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX739","Account Payment","20.00 HUGGINGFACE 4XX*5191 01 MAR XX7397 20.00 HUGGINGFACE 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX73","382.51",,"123461.1"
,"04/03/2025","8400/000 : FNB","17.25 SLACK T06A3T4 4XX*5191 01 MAR XX2061 17.25 SLACK T06A3T4 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXX","Account Payment","17.25 SLACK T06A3T4 4XX*5191 01 MAR XX2061 17.25 SLACK T06A3T4 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXX","329.91",,"123791.01"
,"04/03/2025","8400/000 : FNB","Facebook 13.80 FACEBK *5YVGC 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0025 Facebook","Account Payment","Facebook 13.80 FACEBK *5YVGC 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX0025 Facebook","263.93",,"124054.94"
,"04/03/2025","8400/000 : FNB","Facebook 4.60 FACEBK *7GMZUL 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX1026 Facebook","Account Payment","Facebook 4.60 FACEBK *7GMZUL 4XXXXX*5191 01 MAR XXXXXXXXXXXXXXXXXXX1026 Facebook","87.98",,"124142.92"
,"05/03/2025","8400/000 : FNB","56.38 PADDLE.NET* W 4XX*5191 04 MAR XX1231 56.38 PADDLE.NET* W 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXX","Account Payment","56.38 PADDLE.NET* W 4XX*5191 04 MAR XX1231 56.38 PADDLE.NET* W 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXX","1077.71",,"125220.63"
,"05/03/2025","8400/000 : FNB","60.00 INSOMNIA TEAM 4XX*5191 03 MAR XX4767 60.00 INSOMNIA TEAM 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXX","Account Payment","60.00 INSOMNIA TEAM 4XX*5191 03 MAR XX4767 60.00 INSOMNIA TEAM 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXX","1146.91",,"126367.54"
,"05/03/2025","8400/000 : FNB","99.00 DMNS.APP BUSI 4XX*5191 04 MAR XX5178 99.00 DMNS.APP BUSI 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXX","Account Payment","99.00 DMNS.APP BUSI 4XX*5191 04 MAR XX5178 99.00 DMNS.APP BUSI 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXX","1892.4",,"128259.94"
,"05/03/2025","8400/000 : FNB","179.00 MOZSEO:HELP@ 4XX*5191 03 MAR XX9244 179.00 MOZSEO:HELP@ 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXX","Account Payment","179.00 MOZSEO:HELP@ 4XX*5191 03 MAR XX9244 179.00 MOZSEO:HELP@ 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXX","3423.43",,"131683.37"
,"05/03/2025","8400/000 : FNB","Stable 249.00 STABLE 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX6281 Stable","Account Payment","Stable 249.00 STABLE 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX6281 Stable","4759.66",,"136443.03"
,"05/03/2025","8400/000 : FNB","920.00 AUTH0.COM 4XX*5191 03 MAR XX3089 920.00 AUTH0.COM 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXXX3089","Account Payment","920.00 AUTH0.COM 4XX*5191 03 MAR XX3089 920.00 AUTH0.COM 4XXXXX*5191 03 MAR XXXXXXXXXXXXXXXXXXX3089","17595.28",,"154038.31"
,"05/03/2025","8400/000 : FNB","1499.00 APPDIRECT 4XX*5225 04 MAR XX3188 1499.00 APPDIRECT 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX318","Account Payment","1499.00 APPDIRECT 4XX*5225 04 MAR XX3188 1499.00 APPDIRECT 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX31","28653.51",,"182691.82"
,"06/03/2025","8400/000 : FNB","19.00 CHATBASE 4XX*5191 05 MAR XX2845 19.00 CHATBASE 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX2845","Account Payment","19.00 CHATBASE 4XX*5191 05 MAR XX2845 19.00 CHATBASE 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX2845","362.06",,"183053.88"
,"06/03/2025","8400/000 : FNB","Github Inc. 19.00 GITHUB, INC. 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX7103 Github Inc.","Account Payment","Github Inc. 19.00 GITHUB, INC. 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX7103 Github Inc.","363.19",,"183417.07"
,"06/03/2025","8400/000 : FNB","Github Inc. 54.74 GITHUB, INC. 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX1490 Github Inc.","Account Payment","Github Inc. 54.74 GITHUB, INC. 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX1490 Github Inc.","1046.36",,"184463.43"
,"06/03/2025","8400/000 : FNB","99.99 JINA.AI 4XX*5191 04 MAR XX3658 99.99 JINA.AI 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX3658","Account Payment","99.99 JINA.AI 4XX*5191 04 MAR XX3658 99.99 JINA.AI 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX3658","1911.32",,"186374.75"
,"06/03/2025","8400/000 : FNB","ManageWP 120.75 MANAGEWP 4XXXXX*5225 05 MAR XXXXXXXXXXXXXXXXXXX7424 ManageWP","Account Payment","ManageWP 120.75 MANAGEWP 4XXXXX*5225 05 MAR XXXXXXXXXXXXXXXXXXX7424 ManageWP","2300.97",,"188675.72"
,"06/03/2025","8400/000 : FNB","ManageWP 120.75 MANAGEWP 4XXXXX*5225 05 MAR XXXXXXXXXXXXXXXXXXX1977 ManageWP","Account Payment","ManageWP 120.75 MANAGEWP 4XXXXX*5225 05 MAR XXXXXXXXXXXXXXXXXXX1977 ManageWP","2300.97",,"190976.69"
,"06/03/2025","8400/000 : FNB","Sage SAGE ACC 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX9975 Sage","Account Payment","Sage SAGE ACC 4XXXXX*5225 04 MAR XXXXXXXXXXXXXXXXXXX9975 Sage","3438",,"194414.69"
,"06/03/2025","8400/000 : FNB","599.00 TRIPLE WHALE 4XX*5191 04 MAR XX6482 599.00 TRIPLE WHALE 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXX","Account Payment","599.00 TRIPLE WHALE 4XX*5191 04 MAR XX6482 599.00 TRIPLE WHALE 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXX","11449.94",,"205864.63"
,"06/03/2025","8400/000 : FNB","Shopify 2550.98 SHOPIFY* 33 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX7342 Shopify","Account Payment","Shopify 2550.98 SHOPIFY* 33 4XXXXX*5191 04 MAR XXXXXXXXXXXXXXXXXXX7342 Shopify","48762.2",,"254626.83"
,"07/03/2025","8400/000 : FNB","9.00 TWENTY.COM 4XX*5191 06 MAR XX0964 9.00 TWENTY.COM 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX0964","Account Payment","9.00 TWENTY.COM 4XX*5191 06 MAR XX0964 9.00 TWENTY.COM 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX0964","170.4",,"254797.23"
,"07/03/2025","8400/000 : FNB","Paddle 187.94 PADDLE.NET* 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX9070 Paddle","Account Payment","Paddle 187.94 PADDLE.NET* 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX9070 Paddle","187.94",,"254985.17"
,"07/03/2025","8400/000 : FNB","Hightail 15.00 HIGHTAIL 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX5594 Hightail","Account Payment","Hightail 15.00 HIGHTAIL 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX5594 Hightail","284",,"255269.17"
,"07/03/2025","8400/000 : FNB","50.00 ANACONDA INC. 4XX*5191 05 MAR XX7414 50.00 ANACONDA INC. 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXX","Account Payment","50.00 ANACONDA INC. 4XX*5191 05 MAR XX7414 50.00 ANACONDA INC. 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXX","952.78",,"256221.95"
,"07/03/2025","8400/000 : FNB","99.00 CHATBASE 4XX*5191 05 MAR XX4802 99.00 CHATBASE 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX4802","Account Payment","99.00 CHATBASE 4XX*5191 05 MAR XX4802 99.00 CHATBASE 4XXXXX*5191 05 MAR XXXXXXXXXXXXXXXXXXX4802","1886.51",,"258108.46"
,"07/03/2025","8400/000 : FNB","115.08 OPENAI 4XX*5191 06 MAR XX4643 115.08 OPENAI 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX4643","Account Payment","115.08 OPENAI 4XX*5191 06 MAR XX4643 115.08 OPENAI 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXXX4643","2178.84",,"260287.3"
,"07/03/2025","8400/000 : FNB","174.00 INTERCOM R&D 4XX*5191 06 MAR XX4593 174.00 INTERCOM R&D 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXX","Account Payment","174.00 INTERCOM R&D 4XX*5191 06 MAR XX4593 174.00 INTERCOM R&D 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXX","3294.4",,"263581.7"
,"08/03/2025","8400/000 : FNB","3.60 GETADDRESS.IO 4XX*5225 07 MAR XX0922 3.60 GETADDRESS.IO 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXXX0","Account Payment","3.60 GETADDRESS.IO 4XX*5225 07 MAR XX0922 3.60 GETADDRESS.IO 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXXX","87.28",,"263668.98"
,"08/03/2025","8400/000 : FNB","7.00 NPM, INC. 4XX*5191 07 MAR XX2762 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX2762","Account Payment","7.00 NPM, INC. 4XX*5191 07 MAR XX2762 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX2762","131.31",,"263800.29"
,"08/03/2025","8400/000 : FNB","7.00 NPM, INC. 4XX*5191 07 MAR XX9987 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX9987","Account Payment","7.00 NPM, INC. 4XX*5191 07 MAR XX9987 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX9987","131.31",,"263931.6"
,"08/03/2025","8400/000 : FNB","7.00 NPM, INC. 4XX*5191 07 MAR XX4649 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX4649","Account Payment","7.00 NPM, INC. 4XX*5191 07 MAR XX4649 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX4649","131.31",,"264062.91"
,"08/03/2025","8400/000 : FNB","7.00 NPM, INC. 4XX*5191 07 MAR XX5500 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX5500","Account Payment","7.00 NPM, INC. 4XX*5191 07 MAR XX5500 7.00 NPM, INC. 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX5500","131.31",,"264194.22"
,"08/03/2025","8400/000 : FNB","224.99 Google Chara 4XX*5191 06 MAR XX3042 224.99 Google Chara 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXX","Account Payment","224.99 Google Chara 4XX*5191 06 MAR XX3042 224.99 Google Chara 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXX","224.99",,"264419.21"
,"08/03/2025","8400/000 : FNB","Woocommerce 19.99 WOOCOMMERCE S 4XXXXX*5225 06 MAR XXXXXXXXXXXXXXXXXXX5333 Woocommerce","Account Payment","Woocommerce 19.99 WOOCOMMERCE S 4XXXXX*5225 06 MAR XXXXXXXXXXXXXXXXXXX5333 Woocommerce","378.48",,"264797.69"
,"08/03/2025","8400/000 : FNB","72.00 TERMIUS CORPO 4XX*5191 06 MAR XX6444 72.00 TERMIUS CORPO 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXXX","Account Payment","72.00 TERMIUS CORPO 4XX*5191 06 MAR XX6444 72.00 TERMIUS CORPO 4XXXXX*5191 06 MAR XXXXXXXXXXXXXXXXX","1363.2",,"266160.89"
,"10/03/2025","8400/000 : FNB","12.00 CODESANDBOX 4XX*5191 07 MAR XX4426 12.00 CODESANDBOX 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX442","Account Payment","12.00 CODESANDBOX 4XX*5191 07 MAR XX4426 12.00 CODESANDBOX 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX44","225.1",,"266385.99"
,"10/03/2025","8400/000 : FNB","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXXX8537 Intuit","Account Payment","Intuit 570.40 INTUIT *QBoo 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXXX8537 Intuit","570.4",,"266956.39"
,"10/03/2025","8400/000 : FNB","99.00 MIOSALON.COM( 4XX*5225 07 MAR XX2296 99.00 MIOSALON.COM( 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXX","Account Payment","99.00 MIOSALON.COM( 4XX*5225 07 MAR XX2296 99.00 MIOSALON.COM( 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXX","1857.1",,"268813.49"
,"10/03/2025","8400/000 : FNB","99.00 MIOSALON.COM( 4XX*5225 07 MAR XX0163 99.00 MIOSALON.COM( 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXXX","Account Payment","99.00 MIOSALON.COM( 4XX*5225 07 MAR XX0163 99.00 MIOSALON.COM( 4XXXXX*5225 07 MAR XXXXXXXXXXXXXXXXX","1857.1",,"270670.59"
,"10/03/2025","8400/000 : FNB","105.00 NOTION LABS, 4XX*5191 07 MAR XX5876 105.00 NOTION LABS, 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXX","Account Payment","105.00 NOTION LABS, 4XX*5191 07 MAR XX5876 105.00 NOTION LABS, 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXX","1969.65",,"272640.24"
,"10/03/2025","8400/000 : FNB","Paddle 171.35 PADDLE.NET* 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX9314 Paddle","Account Payment","Paddle 171.35 PADDLE.NET* 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX9314 Paddle","3206.61",,"275846.85"
,"11/03/2025","8400/000 : FNB","Google Store 34.99 Google One 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX2023 Google Store","Account Payment","Google Store 34.99 Google One 4XXXXX*5191 07 MAR XXXXXXXXXXXXXXXXXXX2023 Google Store","34.99",,"275881.84"
,"11/03/2025","8400/000 : FNB","7.00 CHATBASE 4XX*5191 10 MAR XX1702 7.00 CHATBASE 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXXXX1702","Account Payment","7.00 CHATBASE 4XX*5191 10 MAR XX1702 7.00 CHATBASE 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXXXX1702","131",,"276012.84"
,"11/03/2025","8400/000 : FNB","10.00 REPLIT, INC. 4XX*5191 10 MAR XX9715 10.00 REPLIT, INC. 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXXXX9","Account Payment","10.00 REPLIT, INC. 4XX*5191 10 MAR XX9715 10.00 REPLIT, INC. 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXXXX","187.14",,"276199.98"
,"11/03/2025","8400/000 : FNB","20.00 VERCEL INC. 4XX*5191 09 MAR XX9112 20.00 VERCEL INC. 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX911","Account Payment","20.00 VERCEL INC. 4XX*5191 09 MAR XX9112 20.00 VERCEL INC. 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX91","374.28",,"276574.26"
,"11/03/2025","8400/000 : FNB","20.00 VERCEL INC. 4XX*5225 08 MAR XX4526 20.00 VERCEL INC. 4XXXXX*5225 08 MAR XXXXXXXXXXXXXXXXXXX452","Account Payment","20.00 VERCEL INC. 4XX*5225 08 MAR XX4526 20.00 VERCEL INC. 4XXXXX*5225 08 MAR XXXXXXXXXXXXXXXXXXX45","374.28",,"276948.54"
,"11/03/2025","8400/000 : FNB","21.56 SLACK T0740DV 4XX*5191 10 MAR XX2797 21.56 SLACK T0740DV 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXXX","Account Payment","21.56 SLACK T0740DV 4XX*5191 10 MAR XX2797 21.56 SLACK T0740DV 4XXXXX*5191 10 MAR XXXXXXXXXXXXXXXXX","403.47",,"277352.01"
,"11/03/2025","8400/000 : FNB","Google Play 434.99 Google Perpl 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX7043 Google Play","Account Payment","Google Play 434.99 Google Perpl 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX7043 Google Play","434.99",,"277787"
,"11/03/2025","8400/000 : FNB","25.00 BEECEPTOR 4XX*5191 09 MAR XX0094 25.00 BEECEPTOR 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX0094","Account Payment","25.00 BEECEPTOR 4XX*5191 09 MAR XX0094 25.00 BEECEPTOR 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX0094","467.84",,"278254.84"
,"11/03/2025","8400/000 : FNB","25.00 BEECEPTOR 4XX*5191 09 MAR XX0054 25.00 BEECEPTOR 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX0054","Account Payment","25.00 BEECEPTOR 4XX*5191 09 MAR XX0054 25.00 BEECEPTOR 4XXXXX*5191 09 MAR XXXXXXXXXXXXXXXXXXX0054","467.84",,"278722.68"
,"11/03/2025","8400/000 : FNB","25.00 NOTION LABS, 4XX*5191 08 MAR XX7381 25.00 NOTION LABS, 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX7","Account Payment","25.00 NOTION LABS, 4XX*5191 08 MAR XX7381 25.00 NOTION LABS, 4XXXXX*5191 08 MAR XXXXXXXXXXXXXXXXXXX","467.84",,"279190.52"
