paragraph_number,response_content,response_type,annexures,createdAt,updatedAt
3.6.1,The contents of this paragraph are noted. I am a member of the Fifth Respondent.,general,,2025-11-02T14:20:58.359452,2025-11-02T14:20:58.359453
3.6.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359455,2025-11-02T14:20:58.359456
3.7,Noted as a heading.,general,,2025-11-02T14:20:58.359458,2025-11-02T14:20:58.359459
3.7.1,The contents of this paragraph are noted. I am a member of the Sixth Respondent.,general,,2025-11-02T14:20:58.359461,2025-11-02T14:20:58.359462
3.7.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359464,2025-11-02T14:20:58.359465
3.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359467,2025-11-02T14:20:58.359468
3.9,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359470,2025-11-02T14:20:58.359471
3.10,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359472,2025-11-02T14:20:58.359474
3.11,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359476,2025-11-02T14:20:58.359477
3.12,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359479,2025-11-02T14:20:58.359480
3.13,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359481,2025-11-02T14:20:58.359483
6.1,"I admit that I am a director of the Third Respondent and a member of the Fourth, Fifth, and Sixth Respondents.",general,,2025-11-02T14:20:58.359484,2025-11-02T14:20:58.359486
6.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359487,2025-11-02T14:20:58.359489
6.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359490,2025-11-02T14:20:58.359491
6.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359493,2025-11-02T14:20:58.359496
6.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359498,2025-11-02T14:20:58.359499
7.1,"The contents of this paragraph are noted. However, the Applicant's framing is misleading. The Second Respondent had, for months prior, been investigating significant financial irregularities, which were the primary subject of discussion.",detailed,,2025-11-02T15:35:00.456295,2025-11-02T15:35:00.456321
7.2,"The contents are noted. The ""discrepancies"" and ""irregular payments"" were not a new discovery by Mr. Bantjes, but rather the very issues the Second Respondent had been investigating and attempting to bring to the attention of the Applicant and the trustees.",detailed,,2025-11-02T15:35:00.456324,2025-11-02T15:35:00.456326
7.3,The contents of this paragraph are noted.,detailed,,2025-11-02T15:35:00.456328,2025-11-02T15:35:00.456329
7.4,I deny that my son's conduct has been erratic. This is a pejorative and unsubstantiated characterization. He has been under immense pressure while uncovering serious financial misconduct and attempting to protect the companies from further harm.,detailed,,2025-11-02T15:35:00.456331,2025-11-02T15:35:00.456332
7.5,"I deny that I was unable to explain any payments. The Applicant's decision to cancel all business bank cards was a unilateral, reckless, and destructive act that paralyzed the companies' operations. It was not a reasonable response to any purported lack of explanation.",detailed,,2025-11-02T15:35:00.456334,2025-11-02T15:35:00.456335
7.6,The contents of this paragraph are noted. I am not involved in the day-to-day procurement of IT services and cannot speak to the provision of invoices.,detailed,,2025-11-02T15:35:00.456337,2025-11-02T15:35:00.456338
7.7,This is admitted. The disruption to business-critical services was a direct and foreseeable consequence of the Applicant's own reckless actions in cancelling the bank cards.,detailed,,2025-11-02T15:35:00.456340,2025-11-02T15:35:00.456341
7.8,I deny this characterization. The Second Respondent was attempting to manage a crisis created by the Applicant while simultaneously trying to secure evidence of financial wrongdoing. The Applicant perceived this diligence as a lack of cooperation.,detailed,,2025-11-02T15:35:00.456343,2025-11-02T15:35:00.456344
7.9,"The contents of the annexure are noted. These communications, when read in proper context, do not support the Applicant's narrative.",detailed,,2025-11-02T15:35:00.456346,2025-11-02T15:35:00.456347
7.10,The contents of this paragraph are noted.,detailed,,2025-11-02T15:35:00.456349,2025-11-02T15:35:00.456350
7.11,This is denied. The Applicant creates the impression that the Second Respondent was willfully withholding information. The reality is that he was investigating the very same transactions for which the Applicant was demanding invoices.,detailed,,2025-11-02T15:35:00.456352,2025-11-02T15:35:00.456353
7.12,"This is denied. The Second Respondent was directing staff to preserve data and assist in his investigation, which was a necessary and responsible exercise of his duties as a director.",detailed,,2025-11-02T15:35:00.456355,2025-11-02T15:35:00.456356
7.13,The contents of this paragraph are noted. I am advised that this was a necessary security measure to prevent the potential destruction of evidence by individuals implicated in the financial irregularities that the Second Respondent was uncovering.,detailed,,2025-11-02T15:35:00.456358,2025-11-02T15:35:00.456359
7.14,"This is denied. The Second Respondent's actions are not interference, but responsible management aimed at protecting the companies' assets and data integrity.",detailed,,2025-11-02T15:35:00.456361,2025-11-02T15:35:00.456362
7.15,This is emphatically denied. The Second Respondent's conduct in investigating and securing evidence of financial misconduct is fundamentally in the best interests of the corporations.,detailed,,2025-11-02T15:35:00.456364,2025-11-02T15:35:00.456365
7.16,I admit that I obtained a new card. This was a necessary step to restore critical business operations that had been paralyzed by the Applicant's unilateral cancellation of all payment methods.,detailed,,2025-11-02T15:35:00.456367,2025-11-02T15:35:00.456368
7.17,"I admit that I defended my son. The Applicant presented no credible evidence of malfeasance on his part. My assessment at the time, which I maintain, was that the Second Respondent was acting in the best interests of the companies.",detailed,,2025-11-02T15:35:00.456369,2025-11-02T15:35:00.456371
7.18,"This is a malicious and misleading distortion of the facts. I deny that I transferred funds from the corporations. I made a payment to my son from my director's loan account, which was in credit in my favour. This is a standard practice that has been utilized by all directors, including the Applicant, for many years. The characterization of this as a ""birthday gift"" is a deliberate attempt to create prejudice.",detailed,,2025-11-02T15:35:00.456372,2025-11-02T15:35:00.456374
7.19,"The allegation is denied. The Applicant was fully aware of the long-standing practice of directors drawing funds against their loan accounts. It was not a ""business expense"" but a partial repayment of monies owed to me by the company. The funds were my own.",detailed,,2025-11-02T15:35:00.456375,2025-11-02T15:35:00.456377
7.20,"The contents are noted. The payment was not remuneration, but a personal payment from me to my son, funded by a legitimate draw-down from my director's loan account.",detailed,,2025-11-02T15:35:00.456378,2025-11-02T15:35:00.456380
10.1,The contents of this paragraph are noted. The relief sought is draconian and entirely disproportionate to any conduct on my part. This application is not a genuine attempt to protect the corporate respondents but is rather a punitive measure to oust me from the businesses I have helped build over decades.,detailed,,2025-11-02T14:30:20.309953,2025-11-02T14:30:20.309971
10.2,The allegations are denied. The Applicant fails to establish any conduct on my part that would justify the extraordinary and urgent relief sought. The true urgency stems from the Applicant's attempts to conceal the financial irregularities that I and the Second Respondent have sought to expose.,detailed,,2025-11-02T14:30:20.309974,2025-11-02T14:30:20.309975
10.3,The allegation is denied. My conduct has at all times been directed at protecting the interests of the corporate respondents. The Applicant's assertion is a gross mischaracterization of my efforts to uphold good corporate governance in the face of significant financial mismanagement by others.,detailed,,2025-11-02T14:30:20.309977,2025-11-02T14:30:20.309978
10.4,"This is a bare and unsubstantiated legal conclusion, and it is denied. The Applicant fails to specify any act or omission that constitutes a contravention of the cited legislation. I have at all times been mindful of my fiduciary duties.",detailed,,2025-11-02T14:30:20.309980,2025-11-02T14:30:20.309982
10.5,The contents of these paragraphs are noted as the Applicant's interpretation of the law. The Applicant has failed to establish the factual predicate required to invoke these sections of the Companies Act. This application is an abuse of the court's process.,detailed,,2025-11-02T14:30:20.309983,2025-11-02T14:30:20.309985
10.5.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.309986,2025-11-02T14:30:20.309988
10.5.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.309990,2025-11-02T14:30:20.309991
10.6,The contents of these paragraphs are noted as a recitation of the law. I am fully aware of my fiduciary duties and have consistently acted in accordance therewith. The Applicant's selective quoting of the law is a prelude to baseless allegations.,detailed,,2025-11-02T14:30:20.309993,2025-11-02T14:30:20.309994
10.6.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.309996,2025-11-02T14:30:20.309997
10.6.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.309999,2025-11-02T14:30:20.310000
10.6.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310001,2025-11-02T14:30:20.310003
10.7,The contents of these paragraphs are noted as a recitation of the law. I deny any breach of my fiduciary duties and therefore deny any liability for any alleged losses or damages.,detailed,,2025-11-02T14:30:20.310004,2025-11-02T14:30:20.310008
10.7.1.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310009,2025-11-02T14:30:20.310011
10.7.1.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310013,2025-11-02T14:30:20.310014
10.8,The contents of this paragraph are noted as a recitation of the law. I deny any misconduct that would warrant my disqualification from management.,detailed,,2025-11-02T14:30:20.310122,2025-11-02T14:30:20.310124
10.9,"I deny each of these baseless allegations. The Applicant provides no evidence to support these serious accusations. To the contrary, I have acted to prevent harm. For example, on 15 May 2025, I confronted a co-director, Rynette, about ZAR 1,035,000 owed by RegimA Skin Treatments to another entity, Rezonance, which I believed was an improper retention of funds. This was an act of responsible oversight, not abuse.",detailed,,2025-11-02T14:30:20.310126,2025-11-02T14:30:20.310128
10.9.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310129,2025-11-02T14:30:20.310131
10.9.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310132,2025-11-02T14:30:20.310134
10.9.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310135,2025-11-02T14:30:20.310137
10.9.3.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310139,2025-11-02T14:30:20.310141
10.9.3.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310144,2025-11-02T14:30:20.310146
10.9.3.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310149,2025-11-02T14:30:20.310151
10.10,"I deny these allegations. My actions have not been inconsistent with my duties, nor have they been oppressive or prejudicial to the Applicant. The Applicant's feeling of being disregarded stems from my refusal to acquiesce in conduct that I believe is detrimental to the companies. The Applicant's own conduct, such as including me in an interdict on 13 August 2025, a mere two days after I signed a document backdating his designation as ""Main Trustee,"" is the true example of oppressive and prejudicial conduct.",detailed,,2025-11-02T14:30:20.310153,2025-11-02T14:30:20.310155
10.10.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310156,2025-11-02T14:30:20.310158
10.10.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310159,2025-11-02T14:30:20.310161
10.10.2.1,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310162,2025-11-02T14:30:20.310164
10.10.2.2,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310165,2025-11-02T14:30:20.310167
10.10.2.3,The contents are noted as a recitation of the law.,detailed,,2025-11-02T14:30:20.310168,2025-11-02T14:30:20.310170
10.11,"The Applicant's conclusion is noted. It is, however, based on a foundation of false premises and unsubstantiated allegations, and I am advised that it is without legal merit.",detailed,,2025-11-02T14:30:20.310172,2025-11-02T14:30:20.310173
10.12,"I agree that the full extent of financial transgressions needs to be determined. However, I emphatically deny that these are my transgressions. I welcome a truly independent forensic investigation, as it will expose the financial misconduct I have been trying to bring to light, including the R5.4 million ""stock adjustment"" in Strategic Logistics (SLG) and the two years of unallocated expenses managed by Rynette while using the Applicant's own email address.",detailed,,2025-11-02T14:30:20.310175,2025-11-02T14:30:20.310176
10.13,"I agree that significant sums cannot be accounted for. This is precisely the issue I have raised internally. The Applicant incorrectly attributes this to me and my son, when the evidence points to a systematic pattern of revenue hijacking and expense dumping orchestrated by others, which the Applicant has either ignored or enabled.",detailed,,2025-11-02T14:30:20.310178,2025-11-02T14:30:20.310179
12.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359504,2025-11-02T14:20:58.359505
12.2,The contents of this paragraph are noted. I deny any misappropriation of funds.,general,,2025-11-02T14:20:58.359507,2025-11-02T14:20:58.359508
12.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359510,2025-11-02T14:20:58.359511
12.4,The allegation of non-cooperation is denied. I have always been and remain willing to cooperate with any legitimate investigation.,general,,2025-11-02T14:20:58.359513,2025-11-02T14:20:58.359514
13.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359516,2025-11-02T14:20:58.359517
13.2,Noted as a heading.,general,,2025-11-02T14:20:58.359518,2025-11-02T14:20:58.359520
13.2.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359521,2025-11-02T14:20:58.359523
13.2.2,The allegations herein are denied.,general,,2025-11-02T14:20:58.359524,2025-11-02T14:20:58.359526
13.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359527,2025-11-02T14:20:58.359528
13.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359530,2025-11-02T14:20:58.359531
13.5,The allegations herein are denied.,general,,2025-11-02T14:20:58.359533,2025-11-02T14:20:58.359534
13.6,The allegations herein are denied.,general,,2025-11-02T14:20:58.359536,2025-11-02T14:20:58.359537
13.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359539,2025-11-02T14:20:58.359540
14.1,"I do not oppose a forensic audit, provided it is conducted by an independent and impartial firm.",general,,2025-11-02T14:20:58.359542,2025-11-02T14:20:58.359543
14.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359544,2025-11-02T14:20:58.359546
14.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359547,2025-11-02T14:20:58.359549
14.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359550,2025-11-02T14:20:58.359552
14.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359553,2025-11-02T14:20:58.359554
16.1,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359556,2025-11-02T14:20:58.359557
16.2,The allegation of an admission of guilt is denied.,general,,2025-11-02T14:20:58.359561,2025-11-02T14:20:58.359562
16.3,The allegations herein are denied.,general,,2025-11-02T14:20:58.359564,2025-11-02T14:20:58.359565
16.4,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359567,2025-11-02T14:20:58.359568
16.5,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359570,2025-11-02T14:20:58.359571
16.6,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359572,2025-11-02T14:20:58.359576
16.7,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359577,2025-11-02T14:20:58.359579
16.8,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359580,2025-11-02T14:20:58.359582
16.9,The allegations herein are denied.,general,,2025-11-02T14:20:58.359583,2025-11-02T14:20:58.359585
16.10,The allegations herein are denied.,general,,2025-11-02T14:20:58.359586,2025-11-02T14:20:58.359587
16.11,The allegations herein are denied.,general,,2025-11-02T14:20:58.359589,2025-11-02T14:20:58.359590
16.12,The allegations herein are denied.,general,,2025-11-02T14:20:58.359592,2025-11-02T14:20:58.359593
17.1,The allegations herein are denied.,general,,2025-11-02T14:20:58.359595,2025-11-02T14:20:58.359596
17.2,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359598,2025-11-02T14:20:58.359599
17.3,The contents of this paragraph are noted.,general,,2025-11-02T14:20:58.359601,2025-11-02T14:20:58.359602
17.4,The allegations of urgency are denied.,general,,2025-11-02T14:20:58.359604,2025-11-02T14:20:58.359605
